"TEXT","TEXT","TEXT"
"SKathryn1996","Redhold","2.1"
"RBanks2011","Alphazap","2.1"
"RBanks2011","Cardify","1.0"
"RBanks2011","Subin","2.0"
"DayD2002","Fix San","3.0"
"DayD2002","Lotlux","2.1"
"DayD2002","Tin","1.2"
"RRussell2010","Aerified","3.0"
"RRussell2010","Konklux","1.0"
"RRussell2010","Ventosanzap","3.0"
"RRussell2010","Voyatouch","1.1"
"RRussell2010","Wrapsafe","2.1"
"SKathleen","Alpha","1.0"
"SKathleen","Stim","1.0"
"SKathleen","Zoolab","1.1"
"SKathleen","Zoolab","1.2"
"RaymondH","Tempsoft","1.0"
"RaymondH","Viva","1.1"
"StephenB99","Konklux","1.0"
"StephenB99","Matsoft","2.0"
"CGregory2006","Cookley","2.1"
"CGregory2006","Greenlam","2.0"
"CGregory2006","Job","1.2"
"CGregory2006","Solarbreeze","1.1"
"CGregory2006","Solarbreeze","1.2"
"CGregory2006","Tresom","2.0"
"CGregory2006","Trippledex","3.0"
"LingD","Aerified","1.1"
"LingD","Cookley","3.0"
"SeanJ96","Prodder","1.2"
"SeanJ96","Stringtough","1.1"
"OVictor1995","Sonair","1.1"
"OVictor1995","Voyatouch","2.0"
"GrahamJ","Bitwolf","1.2"
"GrahamJ","Fixflex","1.2"
"GrahamJ","Home Ing","1.2"
"GrahamJ","Solarbreeze","2.0"
"GrahamJ","Stim","1.1"
"BTucker2009","Aerified","1.0"
"BTucker2009","Aerified","1.1"
"BTucker2009","Aerified","1.2"
"BTucker2009","Aerified","2.0"
"BTucker2009","Aerified","2.1"
"BTucker2009","Aerified","3.0"
"BTucker2009","Pannier","2.0"
"BTucker2009","Redhold","1.2"
"BTucker2009","Zathin","2.1"
"MarilynW2011","Daltfresh","2.0"
"MarilynW2011","Trippledex","3.0"
"MarilynW2011","Zamit","2.0"
"MarilynW2011","Zoolab","1.1"
"CJudith00","Bamity","3.0"
"CJudith00","Quo Lux","3.0"
"WilliamM93","Fintone","2.0"
"WilliamM93","Fintone","2.1"
"WilliamM93","Otcom","1.2"
"WilliamM93","Tin","1.0"
"WilliamM93","Y-Solowarm","1.0"
"WilliamM93","Zontrax","1.0"
"MNancy","Bitchip","1.2"
"MNancy","Matsoft","1.1"
"MNancy","Otcom","3.0"
"MNancy","Ronstring","1.1"
"MNancy","Sonsing","1.0"
"MNancy","Subin","2.0"
"MNancy","Treeflex","3.0"
"EarlM","Biodex","1.0"
"EarlM","Bytecard","2.0"
"EarlM","Span","3.0"
"EarlM","Zontrax","1.0"
"AllenM95","Latlux","1.2"
"AllenM95","Treeflex","2.1"
"AllenM95","Voyatouch","2.0"
"AllenM95","Y-Solowarm","2.0"
"WardV11","Andalax","2.1"
"WardV11","Lotlux","1.2"
"WardV11","Matsoft","3.0"
"WardV11","Overhold","1.1"
"WardV11","Stronghold","1.1"
"WardV11","Y-find","2.1"
"EvelynM1994","Biodex","2.1"
"EvelynM1994","Konklab","1.2"
"EvelynM1994","Overhold","1.0"
"KCarlos2002","Bitwolf","2.1"
"KCarlos2002","Flowdesk","1.0"
"KCarlos2002","Solarbreeze","2.0"
"KCarlos2002","Trippledex","2.1"
"SAnn94","Bitwolf","2.0"
"SAnn94","Matsoft","2.1"
"SAnn94","Opela","1.1"
"SAnn94","Ronstring","3.0"
"BeverlyP","Flowdesk","2.1"
"BeverlyP","Latlux","1.0"
"BeverlyP","Matsoft","2.0"
"BeverlyP","Sonsing","3.0"
"BeverlyP","Tresom","1.0"
"BFred11","Aerified","1.0"
"BFred11","Kanlam","1.2"
"BFred11","Konklab","2.0"
"BFred11","Konklux","3.0"
"LFred97","Transcof","3.0"
"LFred97","Trippledex","3.0"
"LewisJ98","Hatity","1.1"
"LewisJ98","Hatity","2.0"
"LewisJ98","Redhold","3.0"
"LewisJ98","Tempsoft","1.0"
"SBerry11","Overhold","3.0"
"SBerry11","Stringtough","2.0"
"ABrenda2002","Flowdesk","2.0"
"ABrenda2002","Namfix","1.2"
"ABrenda2002","Toughjoyfax","2.0"
"ABrenda2002","Wrapsafe","2.1"
"PhillipM99","Bitchip","1.0"
"PhillipM99","Solarbreeze","1.2"
"PhillipM99","Span","1.0"
"PhillipM99","Span","1.1"
"PhillipM99","Tampflex","1.1"
"JimmyF","Bitwolf","1.2"
"JimmyF","Fintone","1.0"
"JimmyF","Holdlamis","1.0"
"JimmyF","It","2.1"
"JimmyF","Lotlux","3.0"
"PEric","Bamity","1.2"
"PEric","Kanlam","1.1"
"FTodd","Namfix","1.0"
"ChanR03","Quo Lux","1.0"
"ChanR03","Quo Lux","1.1"
"JSingh2010","Greenlam","1.1"
"JSingh2010","Pannier","1.0"
"ReidJ96","Cardguard","3.0"
"ReidJ96","Prodder","2.0"
"ReidJ96","Stronghold","1.1"
"ReidJ96","Zaam-Dox","3.0"
"ReidJ96","Zoolab","1.2"
"NJean","Greenlam","1.1"
"NJean","Greenlam","3.0"
"NJean","Redhold","2.0"
"NJean","Treeflex","1.1"
"MTheresa04","Solarbreeze","3.0"
"MTheresa04","Sonair","1.2"
"DianaL","Cookley","1.0"
"DianaL","Domainer","1.0"
"DianaL","Tin","1.2"
"KJeffrey04","Fixflex","1.0"
"KJeffrey04","Greenlam","1.2"
"KJeffrey04","Toughjoyfax","3.0"
"MDouglas2007","Cardguard","1.1"
"MDouglas2007","Cardguard","3.0"
"MDouglas2007","Fixflex","1.2"
"MDouglas2007","Greenlam","2.0"
"MDouglas2007","Lotstring","1.1"
"MDouglas2007","Mat Lam Tam","1.0"
"MDouglas2007","Sonair","2.0"
"MDouglas2007","Sub-Ex","1.1"
"MDouglas2007","Treeflex","3.0"
"MDouglas2007","Tresom","1.1"
"MDouglas2007","Viva","2.0"
"MDouglas2007","Zontrax","3.0"
"DebraC2005","Biodex","1.2"
"DebraC2005","Holdlamis","1.0"
"DebraC2005","Lotlux","2.1"
"DebraC2005","Regrant","2.0"
"DebraC2005","Tempsoft","1.1"
"DebraC2005","Ventosanzap","1.2"
"DebraC2005","Zontrax","2.0"
"SJeremy2007","Greenlam","3.0"
"SJeremy2007","Mat Lam Tam","1.2"
"SJeremy2007","Regrant","1.1"
"DunnJ03","Cardify","1.0"
"DunnJ03","Lotstring","2.0"
"DunnJ03","Otcom","1.2"
"DunnJ03","Y-find","1.1"
"DixonJ","Alphazap","3.0"
"DixonJ","Bigtax","2.1"
"DixonJ","Gembucket","1.2"
"DixonJ","Stringtough","1.0"
"DixonJ","Tres-Zap","1.2"
"DixonJ","Vagram","3.0"
"TanJ2001","Fix San","3.0"
"TanJ2001","Namfix","1.0"
"TanJ2001","Zontrax","1.0"
"RubyH98","Bitwolf","3.0"
"RubyH98","Fintone","1.2"
"RubyH98","Flexidy","1.1"
"RubyH98","Flexidy","2.1"
"RubyH98","Kanlam","1.1"
"RubyH98","Overhold","1.2"
"RubyH98","Sonsing","1.0"
"RubyH98","Sub-Ex","1.1"
"RubyH98","Zathin","3.0"
"LeeonP","Alphazap","1.1"
"LeeonP","Flowdesk","3.0"
"LeeonP","Kanlam","1.1"
"LeeonP","Keylex","1.0"
"LeeonP","Tin","2.1"
"LeeonP","Y-find","3.0"
"LeeonP","Zoolab","3.0"
"StephensT00","Bamity","3.0"
"StephensT00","Lotlux","1.2"
"StephensT00","Sonair","2.0"
"GrayB1998","Fix San","2.0"
"GrayB1998","Flowdesk","2.0"
"GrayB1998","Hatity","2.1"
"GrayB1998","Sonair","2.0"
"GrayB1998","Veribet","1.0"
"GrayB1998","Zathin","1.2"
"GKimberly","Asoka","1.0"
"GKimberly","Daltfresh","1.2"
"GKimberly","Duobam","1.1"
"GKimberly","Stim","2.1"
"JWhite","Job","2.1"
"MJones09","Job","1.2"
"MJones09","Job","3.0"
"MJones09","Mat Lam Tam","1.1"
"MJones09","Tin","3.0"
"MJones09","Tres-Zap","3.0"
"MJones09","Viva","2.1"
"LGerald04","Mat Lam Tam","3.0"
"PWalter94","Hatity","2.1"
"PWalter94","Holdlamis","3.0"
"PWalter94","Redhold","3.0"
"PWalter94","Sub-Ex","1.0"
"PWalter94","Temp","2.0"
"TJudith95","Namfix","2.1"
"TJudith95","Transcof","3.0"
"GonzalezT06","Flowdesk","1.1"
"GonzalezT06","Sonair","2.1"
"RebeccaK2002","Stim","1.2"
"RebeccaK2002","Wrapsafe","2.1"
"ClarenceT2010","Bitchip","3.0"
"ClarenceT2010","Cardguard","1.2"
"ClarenceT2010","Stringtough","1.1"
"ClarenceT2010","Sub-Ex","1.1"
"JessicaH95","Fix San","2.0"
"JessicaH95","Fixflex","1.0"
"JessicaH95","Pannier","1.0"
"JessicaH95","Voyatouch","3.0"
"CollinsJ07","Biodex","1.0"
"SandraP","Fixflex","3.0"
"SandraP","Sonair","2.1"
"SandraP","Stronghold","1.0"
"HRobin2012","Bitwolf","1.2"
"HRobin2012","Cardguard","3.0"
"HRobin2012","Sonair","2.0"
"HRobin2012","Tempsoft","2.0"
"HRobin2012","Tempsoft","2.1"
"DennisM","Job","1.1"
"DennisM","Opela","1.2"
"DennisM","Stim","1.2"
"MarilynH2011","Aerified","2.0"
"MarilynH2011","Cardguard","2.0"
"MarilynH2011","Cookley","1.2"
"MarilynH2011","Gembucket","3.0"
"MarilynH2011","Hatity","1.0"
"MarilynH2011","Hatity","2.1"
"MarilynH2011","Holdlamis","2.0"
"MarilynH2011","Transcof","1.1"
"MarilynH2011","Trippledex","1.1"
"BRoger","Otcom","3.0"
"BRoger","Prodder","2.0"
"BRoger","Regrant","1.1"
"RTina","Alpha","1.2"
"RTina","Fixflex","2.1"
"RTina","Keylex","1.1"
"SanchezA","Hatity","1.1"
"SanchezA","Matsoft","1.2"
"SanchezA","Tampflex","3.0"
"SanchezA","Temp","1.2"
"NelsonP2009","Aerified","2.0"
"NelsonP2009","Flexidy","2.1"
"NelsonP2009","Stronghold","1.1"
"PSharon09","Fixflex","1.0"
"PSharon09","Hatity","1.0"
"PSharon09","Voyatouch","2.1"
"WoodJ2011","Bigtax","1.1"
"WoodJ2011","Cardify","1.1"
"WoodJ2011","Matsoft","1.1"
"WoodJ2011","Transcof","1.1"
"WoodJ2011","Transcof","3.0"
"WoodJ2011","Veribet","1.2"
"WoodJ2011","Wrapsafe","1.0"
"CarlT","Konklux","1.0"
"CarlT","Stringtough","3.0"
"CarlT","Vagram","1.0"
"CarlT","Y-find","1.2"
"LClarence","Fix San","1.2"
"LClarence","Voltsillam","2.0"
"SFoo98","Quo Lux","3.0"
"SFoo98","Tin","1.2"
"SFoo98","Veribet","3.0"
"SFoo98","Y-Solowarm","2.0"
"ReynoldsW2006","Alpha","2.1"
"PWanda04","Cookley","3.0"
"BBrenda","Ventosanzap","1.2"
"BBrenda","Voyatouch","3.0"
"BBrenda","Y-find","2.0"
"JonathanM2007","Ronstring","1.0"
"JonathanM2007","Trippledex","1.1"
"NicoleR2003","Solarbreeze","3.0"
"NicoleR2003","Temp","2.1"
"NicoleR2003","Treeflex","2.1"
"TuckerB1995","Asoka","2.1"
"TuckerB1995","Mat Lam Tam","2.1"
"GRaymond2010","Prodder","1.2"
"GRaymond2010","Toughjoyfax","3.0"
"GRaymond2010","Zoolab","1.2"
"MAnne11","Alpha","2.1"
"MAnne11","Konklux","1.0"
"MAnne11","Vagram","2.0"
"MAnne11","Zaam-Dox","2.1"
"TCarlos","Bitwolf","2.1"
"TCarlos","Latlux","1.0"
"TCarlos","Lotstring","3.0"
"PDonna10","Prodder","1.2"
"MElizabeth2008","Duobam","1.1"
"MElizabeth2008","Fintone","1.2"
"MElizabeth2008","Flowdesk","3.0"
"MElizabeth2008","Konklux","2.0"
"MElizabeth2008","Tampflex","2.0"
"MElizabeth2008","Voyatouch","1.1"
"MElizabeth2008","Zathin","3.0"
"FBowman2001","Bytecard","2.0"
"FBowman2001","Duobam","3.0"
"FBowman2001","Tampflex","1.1"
"FBowman2001","Tin","2.0"
"ShirleyW08","Job","1.0"
"ShirleyW08","Sonair","1.1"
"ShirleyW08","Stronghold","1.1"
"ShirleyW08","Treeflex","3.0"
"ShirleyW08","Veribet","1.0"
"ShirleyW08","Y-Solowarm","2.0"
"ShirleyW08","Zoolab","1.0"
"PerezR1998","Tres-Zap","1.1"
"PerezR1998","Tresom","1.0"
"CarterM","Cardguard","1.1"
"CarterM","Zoolab","1.2"
"GSteve11","Otcom","1.0"
"GSteve11","Sonair","1.2"
"ErnestC1997","Asoka","1.1"
"ErnestC1997","Hatity","1.1"
"ErnestC1997","Overhold","1.1"
"ErnestC1997","Sonair","2.1"
"ErnestC1997","Sonair","3.0"
"ErnestC1997","Transcof","1.0"
"ErnestC1997","Tresom","2.1"
"ErnestC1997","Vagram","2.0"
"RubyM10","Lotstring","2.1"
"WJohnny2010","Flowdesk","2.0"
"WJohnny2010","Kanlam","3.0"
"WJohnny2010","Temp","1.0"
"PKenneth06","Cardify","1.2"
"WalkerK","Matsoft","1.0"
"WalkerK","Pannier","2.1"
"WalkerK","Sonair","2.0"
"TorresA2002","Sub-Ex","1.1"
"WoodsD02","Cookley","1.0"
"WoodsD02","Gembucket","3.0"
"WoodsD02","Y-find","1.2"
"LDaniel06","Aerified","1.0"
"LDaniel06","Opela","1.2"
"MJulie","Bigtax","2.1"
"MJulie","Bitchip","1.2"
"MJulie","Fintone","2.1"
"MJulie","Hatity","1.2"
"MJulie","Pannier","2.1"
"MJulie","Tempsoft","1.2"
"RJerry2009","Opela","2.0"
"RJerry2009","Tin","1.0"
"RJerry2009","Vagram","1.0"
"RJerry2009","Voyatouch","2.0"
"GKaren","Fixflex","2.0"
"GKaren","It","2.0"
"GKaren","Y-find","2.1"
"HMarie","Bitchip","3.0"
"HMarie","Voltsillam","3.0"
"BPatrick1993","Duobam","1.0"
"BPatrick1993","Flexidy","1.1"
"BPatrick1993","Flexidy","1.2"
"BPatrick1993","Kanlam","1.2"
"BPatrick1993","Otcom","2.0"
"BPatrick1993","Overhold","1.0"
"BPatrick1993","Quo Lux","2.1"
"BPatrick1993","Zathin","2.1"
"WAlice01","Alphazap","2.0"
"WAlice01","Cookley","2.1"
"WAlice01","Ronstring","2.1"
"WAlice01","Temp","1.2"
"RobertsJ08","Asoka","1.1"
"RobertsJ08","Bitwolf","1.2"
"RobertsJ08","Cookley","2.0"
"RobertsJ08","Duobam","1.0"
"RobertsJ08","Opela","3.0"
"RobertsJ08","Prodder","1.0"
"RobertsJ08","Regrant","2.0"
"RobertsJ08","Ventosanzap","3.0"
"RobertsJ08","Zamit","1.0"
"PPalmer2010","Aerified","1.2"
"PPalmer2010","Daltfresh","1.1"
"PPalmer2010","Gembucket","2.0"
"PPalmer2010","Regrant","1.0"
"PPalmer2010","Sonsing","1.1"
"PPalmer2010","Temp","1.0"
"PPalmer2010","Voltsillam","1.2"
"PPalmer2010","Zontrax","2.0"
"DouglasB1994","Opela","1.0"
"DouglasB1994","Temp","1.2"
"DouglasB1994","Y-Solowarm","1.2"
"JWeaver","Domainer","1.0"
"JWeaver","Lotstring","1.1"
"JWeaver","Stim","1.2"
"KKatherine","Bamity","1.0"
"KKatherine","Matsoft","1.1"
"KKatherine","Ventosanzap","2.0"
"KKatherine","Zaam-Dox","2.0"
"HuntS99","Cardify","1.1"
"HuntS99","Cookley","2.0"
"HuntS99","Gembucket","3.0"
"HuntS99","Opela","1.2"
"HDiana05","Quo Lux","1.1"
"HawkinsS2006","Andalax","1.1"
"HawkinsS2006","Fix San","2.0"
"HawkinsS2006","Lotstring","1.0"
"BJeremy11","Greenlam","1.1"
"BJeremy11","Lotstring","1.0"
"BJeremy11","Tresom","1.2"
"HAmanda","Cookley","1.2"
"HAmanda","Kanlam","1.2"
"HAmanda","Lotlux","1.2"
"HAmanda","Trippledex","1.2"
"HAmanda","Trippledex","3.0"
"LMark93","Fix San","1.0"
"LMark93","Flowdesk","3.0"
"LMark93","Stringtough","2.0"
"LMark93","Zontrax","1.2"
"RalphP1994","Cardguard","1.2"
"RalphP1994","Quo Lux","2.1"
"RalphP1994","Redhold","1.0"
"RalphP1994","Viva","2.1"
"WStephen","Aerified","1.1"
"WStephen","Stringtough","1.0"
"WStephen","Veribet","2.1"
"WStephen","Y-find","1.0"
"MJacqueline","Asoka","1.1"
"MJacqueline","Asoka","2.1"
"MJacqueline","Gembucket","2.0"
"MJacqueline","Kanlam","1.1"
"SKatherine2000","Biodex","1.0"
"SKatherine2000","Viva","1.0"
"WhiteS99","Cookley","1.1"
"WhiteS99","Toughjoyfax","2.1"
"WhiteS99","Tres-Zap","1.0"
"GHenry95","Namfix","3.0"
"GHenry95","Stringtough","1.0"
"GHenry95","Toughjoyfax","2.0"
"TSingh10","Aerified","3.0"
"MarthaA","Job","2.1"
"MarthaA","Trippledex","2.0"
"TinaC98","It","1.1"
"TinaC98","Tresom","1.2"
"TinaC98","Viva","3.0"
"TinaC98","Y-Solowarm","1.1"
"LeeB11","Hatity","3.0"
"LeeB11","Redhold","1.0"
"RubyT2000","Andalax","1.1"
"RubyT2000","Flowdesk","1.1"
"RubyT2000","Keylex","2.1"
"RubyT2000","Subin","1.0"
"PAngela1997","Alphazap","1.1"
"PAngela1997","Fixflex","1.0"
"PAngela1997","Holdlamis","3.0"
"PAngela1997","Job","1.2"
"PAngela1997","Latlux","1.0"
"PAngela1997","Matsoft","1.0"
"PAngela1997","Prodder","2.0"
"PAngela1997","Solarbreeze","1.0"
"PAngela1997","Subin","2.1"
"PAngela1997","Transcof","1.0"
"PAngela1997","Transcof","3.0"
"RJoseph95","Bitwolf","1.2"
"RJoseph95","Fintone","2.1"
"RJoseph95","Subin","2.0"
"STerry03","Daltfresh","2.0"
"STerry03","Fixflex","1.1"
"STerry03","Namfix","2.1"
"FJack01","Biodex","2.0"
"FJack01","Tin","1.1"
"FJack01","Treeflex","2.1"
"FJack01","Y-Solowarm","1.1"
"FJack01","Y-Solowarm","1.2"
"WellsA00","Bamity","1.2"
"WellsA00","Greenlam","2.0"
"RPayne","Latlux","2.1"
"TDenise2006","Stim","2.1"
"TDenise2006","Stringtough","2.0"
"TDenise2006","Veribet","1.0"
"TDenise2006","Voltsillam","3.0"
"AnnaM","Kanlam","1.1"
"AnnaM","Toughjoyfax","2.1"
"AnnaM","Y-Solowarm","1.2"
"TuckerJ1995","Cardify","2.0"
"TuckerJ1995","Gembucket","1.1"
"TuckerJ1995","Veribet","2.1"
"BBarbara","Greenlam","1.1"
"RReyes2002","Mat Lam Tam","2.1"
"RReyes2002","Redhold","1.0"
"RReyes2002","Veribet","3.0"
"VasquezP12","Fixflex","1.0"
"VasquezP12","Greenlam","1.1"
"VasquezP12","Hatity","3.0"
"VasquezP12","Matsoft","1.0"
"VasquezP12","Sub-Ex","1.0"
"VasquezP12","Tresom","1.2"
"BPamela1994","Redhold","3.0"
"BPamela1994","Tempsoft","1.1"
"BPamela1994","Tresom","1.0"
"BPamela1994","Wrapsafe","1.2"
"RayR1998","Bitchip","1.2"
"RayR1998","Job","3.0"
"RayR1998","Keylex","1.0"
"RayR1998","Sonair","1.1"
"RayR1998","Wrapsafe","3.0"
"CharlesS","Asoka","2.0"
"CharlesS","Greenlam","1.2"
"CharlesS","Latlux","1.0"
"CharlesS","Quo Lux","1.2"
"CharlesS","Regrant","3.0"
"CharlesS","Toughjoyfax","1.0"
"RichardsA","Fix San","3.0"
"RichardsA","Lotstring","2.1"
"RichardsA","Tin","2.0"
"TanH2002","Holdlamis","1.0"
"TanH2002","Kanlam","3.0"
"TanH2002","Prodder","1.1"
"TanH2002","Stronghold","3.0"
"AlbertF12","Alphazap","2.1"
"AlbertF12","Otcom","1.2"
"AlbertF12","Zathin","1.2"
"RobertsA","Asoka","1.0"
"RobertsA","Kanlam","1.2"
"RobertsA","Lotstring","1.1"
"RobertsA","Mat Lam Tam","1.2"
"RobertsA","Matsoft","1.0"
"RobertsA","Ronstring","1.0"
"RobertsA","Sub-Ex","2.1"
"RobertsA","Tin","1.1"
"RobertsA","Zontrax","1.0"
"StephenH04","Alpha","2.1"
"StephenH04","Alphazap","2.0"
"StephenH04","Otcom","1.2"
"StephenH04","Tempsoft","1.1"
"StephenH04","Tempsoft","2.0"
"CHeather2004","Andalax","2.1"
"CHeather2004","Overhold","1.0"
"CHeather2004","Span","1.1"
"CHeather2004","Tres-Zap","3.0"
"CMichelle1999","Cookley","2.1"
"CMichelle1999","Stim","1.1"
"FLawrence","Flowdesk","1.2"
"FLawrence","Subin","1.2"
"LDebra93","Alphazap","1.1"
"LDebra93","Alphazap","2.0"
"LDebra93","Pannier","2.1"
"LDebra93","Prodder","1.0"
"LDebra93","Sub-Ex","1.1"
"LDebra93","Toughjoyfax","2.1"
"LDebra93","Viva","1.0"
"LDebra93","Viva","1.2"
"WelchL00","Trippledex","2.1"
"WelchL00","Voyatouch","2.0"
"WelchL00","Zontrax","1.2"
"HWatkins07","Fintone","1.0"
"HWatkins07","Matsoft","1.0"
"HWatkins07","Span","2.1"
"DJonathan12","Flexidy","1.2"
"DJonathan12","Zamit","3.0"
"TJoshua2004","Daltfresh","2.0"
"TJoshua2004","Transcof","1.0"
"TJoshua2004","Zoolab","1.2"
"StephanieK1997","Asoka","1.0"
"JenniferH","Ronstring","2.0"
"JenniferH","Stronghold","1.1"
"JenniferH","Tempsoft","1.1"
"WTimothy01","Konklux","1.0"
"WTimothy01","Konklux","3.0"
"WTimothy01","Redhold","3.0"
"WTimothy01","Trippledex","2.0"
"WTimothy01","Voltsillam","1.0"
"WTimothy01","Zoolab","1.1"
"LCynthia","Konklab","1.0"
"LCynthia","Redhold","1.1"
"LCynthia","Y-find","3.0"
"AllenA01","Alpha","1.1"
"AllenA01","Opela","1.1"
"AllenA01","Stim","1.2"
"AllenA01","Sub-Ex","2.0"
"TinaM02","Cookley","3.0"
"TinaM02","Stringtough","1.1"
"TinaM02","Tres-Zap","1.0"
"TinaM02","Viva","1.1"
"TinaM02","Voltsillam","3.0"
"TinaM02","Zoolab","1.1"
"AndrewsC","Keylex","2.1"
"AndrewsC","Toughjoyfax","1.0"
"AndrewsC","Zoolab","2.0"
"TerryG99","Domainer","1.1"
"TerryG99","Fintone","1.2"
"TerryG99","Ronstring","3.0"
"TerryG99","Stim","3.0"
"LawsonH93","Gembucket","2.1"
"LawsonH93","Overhold","2.1"
"LawsonH93","Tempsoft","1.0"
"BettyT","Cardify","1.2"
"BettyT","It","1.0"
"BettyT","Viva","1.0"
"BettyT","Voyatouch","1.2"
"BettyT","Zoolab","3.0"
"MEvelyn2002","Home Ing","1.2"
"MEvelyn2002","Job","3.0"
"MEvelyn2002","Sonair","1.2"
"MEvelyn2002","Stronghold","1.0"
"MEvelyn2002","Transcof","1.1"
"MEvelyn2002","Ventosanzap","1.2"
"MEvelyn2002","Voltsillam","1.0"
"MEvelyn2002","Y-Solowarm","1.0"
"MEvelyn2002","Y-Solowarm","2.0"
"MEvelyn2002","Zaam-Dox","3.0"
"MEvelyn2002","Zontrax","2.1"
"SMichelle2007","Asoka","2.0"
"SMichelle2007","Bytecard","1.2"
"SMichelle2007","Bytecard","2.0"
"SMichelle2007","Hatity","1.1"
"SMichelle2007","Hatity","3.0"
"SMichelle2007","Tempsoft","1.0"
"DianeS97","Kanlam","3.0"
"DianeS97","Konklux","2.0"
"DianeS97","Quo Lux","1.2"
"DianeS97","Vagram","3.0"
"HAmy2004","Namfix","1.2"
"HAmy2004","Y-find","1.2"
"HAmy2004","Y-Solowarm","2.1"
"KThomas2009","Fix San","1.0"
"KThomas2009","Stim","1.2"
"KThomas2009","Stringtough","1.0"
"KThomas2009","Zathin","1.2"
"BBobby03","Fixflex","1.2"
"BBobby03","Home Ing","1.2"
"BBobby03","Quo Lux","1.0"
"BBobby03","Ronstring","1.0"
"BBobby03","Stringtough","1.1"
"BBobby03","Toughjoyfax","2.0"
"BBobby03","Viva","2.1"
"BBobby03","Zaam-Dox","1.2"
"MariaC2005","Andalax","1.1"
"MariaC2005","Bitwolf","3.0"
"MariaC2005","Job","2.0"
"MariaC2005","Opela","2.0"
"MariaC2005","Toughjoyfax","1.1"
"MariaC2005","Tresom","1.2"
"MccoyC","Cardify","1.1"
"MccoyC","Stronghold","1.1"
"MccoyC","Subin","1.1"
"HRebecca02","Gembucket","1.2"
"HRebecca02","Hatity","1.2"
"HRebecca02","Keylex","1.1"
"HRebecca02","Sonair","1.0"
"HRebecca02","Viva","2.0"
"ECatherine","Aerified","2.0"
"ECatherine","Aerified","2.1"
"ECatherine","Kanlam","2.1"
"ECatherine","Konklux","1.2"
"ECatherine","Tresom","2.1"
"ECatherine","Y-find","1.0"
"PerryT09","Trippledex","1.0"
"PerryT09","Vagram","1.0"
"DiazA","Flexidy","2.1"
"DiazA","Flowdesk","1.1"
"DiazA","Treeflex","1.1"
"DiazA","Voyatouch","2.1"
"REugene99","Flowdesk","1.1"
"REugene99","Greenlam","1.2"
"REugene99","Matsoft","2.0"
"REugene99","Stim","1.0"
"REugene99","Tampflex","3.0"
"REugene99","Veribet","1.0"
"GloriaG2001","Alpha","1.1"
"GloriaG2001","Quo Lux","1.2"
"GloriaG2001","Zontrax","1.2"
"AlexanderK","Alpha","1.1"
"AlexanderK","Bytecard","1.2"
"AlexanderK","Sub-Ex","1.0"
"WSarah","Redhold","3.0"
"WSarah","Stronghold","1.2"
"JamesG2000","Biodex","1.1"
"JamesG2000","Bitwolf","1.1"
"JamesG2000","Cardify","1.0"
"JamesG2000","Overhold","3.0"
"JamesG2000","Viva","2.0"
"JamesG2000","Voltsillam","3.0"
"HJames","Gembucket","1.0"
"HJames","Job","2.0"
"HJames","Stringtough","1.2"
"HJames","Tempsoft","1.2"
"HJames","Tempsoft","2.1"
"HJames","Veribet","2.1"
"FAnnie09","Aerified","1.0"
"FAnnie09","Alphazap","2.1"
"FAnnie09","Solarbreeze","1.1"
"FAnnie09","Stronghold","1.2"
"FAnnie09","Tempsoft","1.2"
"FAnnie09","Zaam-Dox","3.0"
"WCruz","Fixflex","1.1"
"WCruz","Trippledex","1.2"
"ArmstrongJ","Bytecard","1.2"
"ArmstrongJ","Flexidy","2.1"
"ArmstrongJ","Lotstring","1.0"
"ArmstrongJ","Mat Lam Tam","2.1"
"ArmstrongJ","Matsoft","1.2"
"ArmstrongJ","Temp","2.1"
"SLarson96","Greenlam","1.2"
"SLarson96","Stringtough","1.0"
"SLarson96","Ventosanzap","2.0"
"JaneC99","Lotlux","1.0"
"JaneC99","Mat Lam Tam","2.0"
"JaneC99","Otcom","3.0"
"JaneC99","Voltsillam","3.0"
"BJack","Subin","1.0"
"BJack","Tin","1.1"
"MatthewsK94","Subin","1.0"
"MatthewsK94","Tres-Zap","3.0"
"MatthewsK94","Y-find","2.0"
"EvelynP94","Bitwolf","2.1"
"EvelynP94","Trippledex","1.0"
"EvelynP94","Veribet","3.0"
"EvelynP94","Viva","3.0"
"JimmyR08","Bigtax","2.1"
"JimmyR08","Hatity","3.0"
"JimmyR08","Tempsoft","1.0"
"JimmyR08","Tin","3.0"
"JimmyR08","Voyatouch","2.1"
"HansonL08","Bytecard","2.0"
"HansonL08","Latlux","3.0"
"DOliver","Greenlam","2.0"
"DOliver","Zaam-Dox","1.1"
"MooreR2005","Aerified","1.1"
"MooreR2005","Bitchip","3.0"
"MooreR2005","Tres-Zap","1.0"
"MooreR2005","Ventosanzap","1.1"
"MooreR2005","Y-Solowarm","1.2"
"LAlbert10","Cardguard","1.0"
"LAlbert10","Home Ing","2.1"
"LAlbert10","Tresom","2.1"
"RebeccaN93","Duobam","1.1"
"RebeccaN93","Fixflex","2.0"
"RebeccaN93","Matsoft","1.1"
"RebeccaN93","Stringtough","2.0"
"RebeccaN93","Voltsillam","1.2"
"RebeccaN93","Voyatouch","1.2"
"ChavezG03","Duobam","2.1"
"ChavezG03","Matsoft","1.2"
"ChavezG03","Voyatouch","1.2"
